Column1,avg_mstry,avg_onrle,avg_wr,avg_ws,result
0,-1237469,0,-48.8,-1,0
0,-305984,-1,-42.88,1,0
0,237085,3,-42.72,-1,1
0,695779,-1,-40.93,-1,0
0,695779,-1,-40.93,-1,0
0,698798,-1,-40.51,1,0
0,698798,-1,-40.51,0,0
0,-736229,2,-40.16,-1,1
0,-737120,2,-40.16,-2,1
0,-737120,2,-40.16,-2,1
0,-501940,1,-38.84,-1,0
0,-501940,1,-38.84,-1,0
0,-501940,1,-38.84,-1,0
0,-501940,1,-38.84,-1,0
0,36459,0,-37.01,1,0
0,559419,3,-36.71,-1,0
0,559419,3,-36.71,-1,0
0,559419,3,-36.71,-1,0
0,-1298710,-1,-36.05,1,0
0,1343354,0,-35.12,1,0
0,688754,-1,-31.22,-2,0
0,-67419,1,-30.87,0,0
0,-311409,1,-30.7,-1,0
0,-58302,0,-30.69,0,0
0,1069073,-1,-30.63,0,0
0,20667,-1,-28.31,0,1
0,730357,0,-28.12,-1,1
0,85775,1,-27.83,-1,1
0,1581928,0,-27.71,1,1
0,-572238,0,-27.35,0,0
0,1007302,1,-27.15,-2,1
0,-154567,1,-26.49,-1,0
0,412945,0,-25.94,0,1
0,-265369,0,-25.28,-1,0
0,504748,1,-25.11,0,1
0,-245664,1,-24.73,1,0
0,-495734,0,-24.62,0,1
0,-262741,1,-24.53,0,1
0,-602215,2,-24.16,3,1
0,-602288,2,-24.16,2,1
0,-602540,2,-24.16,1,1
0,-602540,2,-24.16,2,1
0,-602540,2,-24.16,1,1
0,-602540,3,-24.16,2,1
0,-602540,4,-24.16,2,1
0,-743710,-2,-23.44,1,0
0,-1410758,-1,-23.38,0,1
0,487919,3,-23.37,0,1
0,133218,-1,-23.33,0,0
0,-162122,0,-23.33,0,0
0,353305,2,-23.33,-2,0
0,1256507,0,-23.2,-1,0
0,-452389,-1,-23.19,0,1
0,-740009,0,-23.1,0,0
0,-599753,2,-23.02,1,1
0,-599753,2,-23.02,-1,1
0,-599753,3,-23.02,0,1
0,-232675,0,-22.72,0,1
0,2791652,-1,-22.68,0,0
0,43477,-2,-22.67,2,1
0,1347448,-1,-22.21,-2,0
0,714278,0,-22.05,1,0
0,1258358,1,-22.02,1,0
0,-158034,-1,-21.66,-1,0
0,167449,-1,-21.43,1,1
0,10763,0,-21.39,0,0
0,-120249,1,-21.39,-1,0
0,412362,0,-21.2,1,1
0,412362,0,-21.2,1,1
0,412362,0,-21.2,1,1
0,-117228,0,-21.16,0,0
0,177502,0,-21.03,-1,1
0,1907959,-3,-20.95,1,1
0,266338,0,-20.92,1,1
0,-371504,0,-20.81,0,0
0,465725,0,-20.58,2,0
0,68134,0,-20.54,2,1
0,-205958,2,-20.49,3,1
0,-350712,-1,-20.34,1,1
0,-60456,2,-20.04,0,1
0,558576,3,-19.64,-1,0
0,559419,3,-19.45,0,0
0,-280550,-1,-19.44,1,0
0,-1257706,0,-19.43,0,0
0,558507,3,-19.42,0,0
0,1010467,1,-19.4,0,1
0,1880,0,-19.23,0,1
0,731722,1,-18.95,0,1
0,-2822374,-1,-18.94,0,0
0,205343,-1,-18.75,0,0
0,146711,0,-18.69,1,0
0,1053838,0,-18.64,-1,1
0,400098,0,-18.55,0,0
0,400098,0,-18.55,0,0
0,-2341584,0,-18.52,0,1
0,49611,0,-18.37,1,0
0,-1853147,2,-18.28,0,0
0,203067,0,-18.19,0,0
0,1744859,1,-18.05,0,1
0,-440514,0,-17.99,0,0
0,-869336,-3,-17.89,-2,0
0,2166335,0,-17.54,2,1
0,-1033288,-1,-17.48,0,1
0,833078,-2,-17.44,0,1
0,-908040,0,-17.41,-1,0
0,-2048648,0,-17.35,-1,0
0,-20896,0,-17.08,2,1
0,-185992,0,-17.06,2,1
0,-307958,0,-16.96,-1,0
0,310300,-1,-16.87,-2,0
0,451887,-2,-16.74,0,0
0,-10775,0,-16.71,-2,0
0,37669,0,-16.7,1,1
0,-1345921,0,-16.67,1,1
0,41299,2,-16.65,-1,1
0,-184318,1,-16.58,-1,0
0,-274856,0,-16.52,0,0
0,-10775,0,-16.51,-2,0
0,-10775,0,-16.51,-2,0
0,-1533757,0,-16.41,0,1
0,237802,1,-16.37,-2,1
0,325697,0,-16.31,0,0
0,-74522,0,-16.21,1,1
0,-138950,-1,-16.15,-1,1
0,50797,0,-16.13,0,0
0,-267571,-1,-16.06,-2,1
0,1140932,0,-16.03,2,1
0,1138538,-2,-16.03,2,1
0,20179,0,-15.99,-1,1
0,961751,-1,-15.86,-1,0
0,-572511,0,-15.84,0,0
0,181407,0,-15.82,0,1
0,-527151,-1,-15.77,-1,0
0,37503,0,-15.64,1,1
0,38254,0,-15.64,1,1
0,961751,-1,-15.6,-1,0
0,-1715591,1,-15.58,-3,0
0,-113123,0,-15.47,0,0
0,1101543,0,-15.43,-1,1
0,539558,2,-15.3,0,0
0,4056,-1,-15.11,1,1
0,61332,-1,-15.08,0,0
0,61332,-1,-15.07,-1,0
0,-529514,0,-15.06,-2,1
0,-347574,0,-15.04,1,0
0,-144500,0,-15,0,0
0,-357956,2,-14.95,1,0
0,1018683,2,-14.87,-1,0
0,330648,0,-14.86,0,0
0,-616781,0,-14.81,0,1
0,-321744,-3,-14.8,-1,0
0,321601,0,-14.72,-3,0
0,118968,1,-14.64,0,1
0,1263440,2,-14.54,0,0
0,-115998,-1,-14.54,1,1
0,99930,1,-14.48,0,1
0,-472856,0,-14.48,-2,1
0,1143440,-2,-14.45,1,1
0,1138824,-2,-14.45,1,1
0,-1868235,0,-14.45,-1,1
0,1138538,-2,-14.45,2,1
0,1136291,-2,-14.45,2,1
0,164379,0,-14.25,-2,1
0,-487658,0,-14.22,0,1
0,193779,1,-14.07,2,0
0,654391,0,-14.05,1,1
0,16129,0,-13.89,0,1
0,1230336,-1,-13.81,0,0
0,-1746910,-1,-13.57,-1,0
0,262043,3,-13.56,1,1
0,876313,1,-13.56,0,1
0,298478,3,-13.54,0,0
0,1473933,0,-13.45,0,0
0,254424,2,-13.33,-1,0
0,523334,0,-13.19,-2,1
0,75383,-1,-13.18,1,1
0,-1164476,0,-13.14,-1,0
0,-539521,3,-13.05,-1,1
0,1827218,0,-12.99,1,0
0,523334,0,-12.97,-2,1
0,573953,0,-12.91,0,1
0,452081,0,-12.9,-2,1
0,169337,0,-12.86,-2,0
0,527036,0,-12.85,0,0
0,1679968,-1,-12.76,1,1
0,-501940,1,-12.72,-1,0
0,2468761,0,-12.71,-1,1
0,518349,1,-12.7,0,0
0,441913,1,-12.58,-1,0
0,883327,0,-12.51,-1,0
0,1376837,0,-12.5,0,0
0,2022279,3,-12.44,1,1
0,1164972,-1,-12.41,-1,1
0,777632,-1,-12.39,0,1
0,-50953,0,-12.3,-1,1
0,-87619,-1,-12.29,-1,0
0,478377,0,-12.24,2,1
0,478893,0,-12.24,2,1
0,478893,0,-12.24,2,1
0,478893,0,-12.24,2,1
0,478893,0,-12.24,2,1
0,478893,0,-12.24,2,1
0,478893,0,-12.24,2,1
0,478704,0,-12.24,1,1
0,-1273321,0,-12.16,3,0
0,-756238,0,-12.16,2,1
0,349637,-2,-12.11,-1,1
0,299782,0,-12.07,1,1
0,428760,-1,-11.9,0,0
0,1333675,0,-11.86,-2,0
0,254409,1,-11.86,-1,0
0,621440,1,-11.85,1,0
0,783140,2,-11.82,0,0
0,239176,0,-11.81,-2,1
0,-534711,0,-11.81,-1,0
0,-41339,0,-11.68,1,1
0,1792507,0,-11.68,0,0
0,708668,0,-11.65,3,1
0,1062545,-1,-11.63,-2,0
0,-233294,0,-11.62,-2,1
0,652264,-1,-11.6,0,1
0,-594639,0,-11.58,-1,0
0,-98756,0,-11.55,0,0
0,-335645,1,-11.37,0,0
0,2077113,1,-11.35,0,0
0,-25453,-2,-11.34,2,1
0,2022738,2,-11.33,1,1
0,-1250245,0,-11.32,1,0
0,102343,-1,-11.27,0,0
0,2363971,0,-11.22,1,0
0,121187,1,-11.2,-1,0
0,-25453,-2,-11.19,0,1
0,1995335,1,-11.15,-2,0
0,-28605,0,-11.14,0,1
0,104350,2,-11.1,2,0
0,1092576,-1,-11.1,0,1
0,-4067668,-1,-11.1,0,1
0,-360053,0,-11.09,-1,0
0,-4255,0,-11.01,0,1
0,60439,0,-10.94,0,0
0,-36628,0,-10.93,-2,1
0,1997890,1,-10.93,-1,0
0,-1425250,1,-10.88,0,0
0,71954,1,-10.84,1,1
0,-2913334,0,-10.83,-1,0
0,232553,-1,-10.78,-1,1
0,1996900,1,-10.78,-1,0
0,-1425250,1,-10.78,0,0
0,-335486,1,-10.76,0,0
0,324488,-2,-10.76,0,0
0,-434349,-2,-10.75,-1,1
0,-49784,0,-10.75,0,1
0,77369,2,-10.73,1,0
0,14959,0,-10.7,2,1
0,219225,0,-10.69,-1,0
0,-679649,-1,-10.69,0,1
0,1111949,0,-10.67,1,0
0,737359,1,-10.61,-1,0
0,95008,0,-10.58,0,1
0,354911,1,-10.56,-1,0
0,-678434,1,-10.53,0,1
0,8458,-1,-10.48,1,0
0,-143840,-1,-10.47,-1,0
0,2711681,-1,-10.44,-1,0
0,1865118,-1,-10.39,1,1
0,-1031825,-2,-10.38,0,0
0,-152036,1,-10.3,1,1
0,-1753890,-1,-10.29,0,0
0,323017,-1,-10.22,-1,0
0,-55270,2,-10.22,0,0
0,-310709,0,-10.2,-1,0
0,1801043,-1,-10.15,0,1
0,-445420,1,-10.02,1,1
0,-600513,1,-9.93,0,0
0,-804442,0,-9.92,0,1
0,447191,1,-9.91,-1,0
0,-3506153,0,-9.83,-3,0
0,-335645,1,-9.79,0,0
0,3624309,-1,-9.74,1,0
0,565773,0,-9.74,1,1
0,175481,-3,-9.71,-2,0
0,1990126,-1,-9.69,1,1
0,91485,2,-9.65,-1,0
0,-1008943,-1,-9.61,0,0
0,-306911,-1,-9.58,1,0
0,-306911,-1,-9.58,1,0
0,310274,-3,-9.54,1,1
0,-1137884,0,-9.52,0,0
0,275528,0,-9.5,0,0
0,18367,-1,-9.43,0,1
0,-53607,2,-9.42,1,0
0,-3069866,2,-9.39,0,1
0,162009,-2,-9.38,-2,0
0,196269,-1,-9.35,1,1
0,-209737,0,-9.34,-1,0
0,-164027,0,-9.28,2,1
0,-45803,-1,-9.26,-2,1
0,743661,1,-9.23,-1,1
0,1289886,1,-9.22,1,1
0,450201,-1,-9.17,-1,0
0,1041237,0,-9.05,0,1
0,-370965,0,-9.03,1,0
0,-2170375,2,-9.03,0,1
0,529865,-1,-8.95,-1,1
0,-34659,0,-8.92,0,1
0,2834254,2,-8.91,0,1
0,-28684,1,-8.91,-1,0
0,-19717,-2,-8.89,-1,1
0,-404197,0,-8.87,0,0
0,1352025,-1,-8.85,1,1
0,519894,0,-8.79,2,1
0,426714,1,-8.72,-3,0
0,426507,1,-8.71,-3,0
0,-272188,1,-8.7,-3,0
0,426507,1,-8.61,-2,0
0,-1793087,0,-8.6,0,0
0,398664,0,-8.58,0,1
0,-142803,2,-8.54,-1,0
0,186168,0,-8.51,2,1
0,-1202244,-2,-8.5,-1,0
0,1229586,-1,-8.4,0,1
0,26928,-2,-8.38,0,0
0,26928,-2,-8.38,0,0
0,1798754,2,-8.38,0,0
0,619158,2,-8.35,-1,0
0,1110990,-1,-8.35,0,0
0,-836364,-1,-8.35,2,1
0,-90004,0,-8.33,0,0
0,848425,-2,-8.32,0,1
0,-2164797,0,-8.31,0,0
0,254424,1,-8.31,-1,0
0,254602,1,-8.31,-1,0
0,-916431,0,-8.29,0,0
0,727344,1,-8.25,-1,0
0,92563,-1,-8.24,0,1
0,-1111263,1,-8.22,3,1
0,135973,-1,-8.21,1,1
0,589254,2,-8.19,2,0
0,-2763477,0,-8.16,-1,0
0,350127,0,-8.16,-1,0
0,-1670707,3,-8.14,1,1
0,-1372129,0,-8.11,1,0
0,447191,1,-8.06,0,0
0,882134,3,-8.03,-1,1
0,-1088472,1,-8.03,0,0
0,888411,2,-7.88,0,0
0,-639299,-1,-7.88,0,1
0,1734170,0,-7.82,1,1
0,1224524,2,-7.77,0,0
0,304204,1,-7.77,0,1
0,-1673994,0,-7.69,2,0
0,852952,0,-7.69,-1,1
0,1726844,-1,-7.66,0,1
0,160467,1,-7.63,-1,1
0,-305270,0,-7.61,0,1
0,708216,3,-7.56,0,0
0,-349079,1,-7.52,-1,0
0,-75384,0,-7.51,1,0
0,1003230,1,-7.47,0,1
0,222341,-2,-7.45,0,0
0,223415,-2,-7.38,1,0
0,382527,-1,-7.33,-1,0
0,-36381,0,-7.31,-1,0
0,851224,0,-7.28,0,1
0,-3061174,-2,-7.27,-1,1
0,-3061174,-2,-7.27,-1,1
0,-731769,1,-7.26,0,0
0,-1464498,0,-7.25,-1,1
0,-697493,-1,-7.24,0,0
0,1249171,1,-7.16,0,0
0,-1425250,1,-7.14,-1,0
0,546605,-1,-7.1,1,0
0,-176944,1,-7.1,-1,0
0,281387,0,-7.09,1,0
0,589696,0,-7.08,-3,0
0,1749757,1,-7.08,2,0
0,-298782,-1,-7.08,1,0
0,281858,-2,-7.08,1,1
0,891045,-3,-7.02,-2,0
0,278541,0,-7.02,0,1
0,-460402,-1,-7,1,1
0,1046956,0,-6.98,0,1
0,-85323,-1,-6.94,-1,0
0,413721,1,-6.92,1,1
0,-1465836,-2,-6.9,0,0
0,-1239791,2,-6.87,2,0
0,-1241392,1,-6.87,2,0
0,1319985,0,-6.83,0,0
0,42431,2,-6.83,-2,0
0,-1169168,3,-6.82,-1,0
0,3559423,2,-6.76,0,1
0,-695025,1,-6.67,-1,1
0,138520,1,-6.67,-1,1
0,513563,0,-6.63,-1,0
0,-65033,2,-6.61,1,0
0,1230762,1,-6.58,0,0
0,-387573,-1,-6.57,0,0
0,1126767,1,-6.57,0,0
0,-1344122,2,-6.52,0,0
0,960333,1,-6.5,-1,1
0,-3101238,1,-6.48,-1,1
0,543312,0,-6.47,0,1
0,543312,0,-6.47,0,1
0,50373,-1,-6.47,0,1
0,543312,0,-6.47,0,1
0,50373,0,-6.47,0,1
0,543312,0,-6.47,0,1
0,-948203,-1,-6.47,-1,1
0,-78587,0,-6.41,0,0
0,413635,-2,-6.39,1,1
0,-821035,0,-6.38,-1,0
0,-524972,0,-6.35,0,1
0,2458294,0,-6.32,1,0
0,-1401053,0,-6.31,1,0
0,-593868,0,-6.31,-1,0
0,45952,0,-6.29,0,1
0,45952,0,-6.29,1,1
0,1090418,0,-6.29,0,1
0,1221682,0,-6.28,-1,0
0,50373,-1,-6.27,0,1
0,543312,0,-6.27,0,1
0,622947,-2,-6.27,-1,0
0,523412,3,-6.24,0,1
0,133271,0,-6.19,2,1
0,4228591,1,-6.18,0,1
0,-8478,0,-6.14,-1,1
0,-587298,0,-6.13,1,0
0,-1607967,1,-6.13,1,1
0,-215956,0,-6.06,0,0
0,-628372,-2,-6.05,-1,0
0,992261,0,-5.99,0,0
0,3265002,-1,-5.98,1,0
0,-2670699,-1,-5.97,-1,0
0,581219,1,-5.94,1,1
0,-639032,0,-5.93,-1,1
0,546000,4,-5.93,3,1
0,86913,2,-5.89,-1,1
0,-133444,-1,-5.88,-1,0
0,-335508,0,-5.88,0,1
0,880814,-1,-5.88,0,1
0,1598227,0,-5.86,1,1
0,-656902,-2,-5.83,-1,0
0,203524,0,-5.83,1,0
0,478893,0,-5.82,1,1
0,480419,0,-5.82,1,1
0,252620,-2,-5.81,0,0
0,88542,1,-5.8,2,0
0,-283618,0,-5.78,0,0
0,1006996,1,-5.77,0,1
0,184745,-1,-5.74,-1,0
0,775542,1,-5.74,-1,1
0,17471,-1,-5.74,0,1
0,576939,0,-5.71,-1,1
0,-575965,0,-5.71,1,0
0,-639972,0,-5.59,0,1
0,403372,1,-5.58,0,1
0,716417,4,-5.56,0,1
0,-139806,1,-5.56,1,0
0,414767,0,-5.51,0,0
0,-641057,0,-5.5,0,1
0,-737814,-3,-5.45,1,0
0,271582,0,-5.42,0,1
0,92581,0,-5.38,0,1
0,-641220,0,-5.37,0,1
0,833890,1,-5.36,-3,0
0,834860,1,-5.36,-3,0
0,-734264,-1,-5.31,0,0
0,-1793087,0,-5.3,-1,0
0,-1793087,0,-5.3,-1,0
0,382963,0,-5.26,0,0
0,770357,0,-5.24,0,0
0,-255644,0,-5.19,0,0
0,1051441,-1,-5.19,0,1
0,-686396,0,-5.19,-1,0
0,-1248395,1,-5.18,0,1
0,1475949,0,-5.17,-1,1
0,230185,1,-5.15,1,0
0,772008,-1,-5.12,-1,1
0,-1008001,-1,-5.07,0,0
0,2359608,0,-5.07,-1,0
0,1162621,-1,-5.05,-1,0
0,-650512,0,-5.05,-1,0
0,-1596029,2,-5.05,-1,0
0,243725,0,-5.03,2,1
0,-87001,-1,-5.03,0,0
0,738431,0,-5.02,0,1
0,-2924350,1,-5.02,0,0
0,20558,1,-5,-2,1
0,20558,1,-5,-2,1
0,402710,0,-4.96,-1,0
0,20558,1,-4.94,-1,1
0,856964,-2,-4.92,1,0
0,816943,0,-4.86,2,1
0,573502,1,-4.86,-2,1
0,-1088642,1,-4.85,-1,0
0,-260575,-2,-4.85,-1,0
0,-476608,0,-4.84,0,1
0,358486,-1,-4.83,1,0
0,202543,2,-4.79,0,1
0,633311,1,-4.76,-1,1
0,266657,-1,-4.76,0,0
0,-89533,1,-4.74,1,0
0,-89668,0,-4.74,1,0
0,-3943105,-1,-4.73,-1,0
0,840222,0,-4.71,1,1
0,-4277984,0,-4.69,0,0
0,357075,-3,-4.67,-1,1
0,1115845,0,-4.66,0,1
0,387949,-1,-4.63,0,0
0,4228440,1,-4.6,0,1
0,4228440,2,-4.6,0,1
0,-925830,0,-4.59,-1,0
0,-328106,0,-4.57,-3,1
0,-775513,0,-4.56,0,0
0,2306670,1,-4.55,0,1
0,-3353248,-1,-4.54,0,0
0,-239914,3,-4.52,2,0
0,-169729,1,-4.5,0,0
0,-447652,-2,-4.5,-1,0
0,-77313,-1,-4.48,0,0
0,813023,0,-4.47,0,1
0,250425,-3,-4.46,0,1
0,2682316,0,-4.46,0,0
0,-288273,0,-4.46,0,1
0,-775673,0,-4.45,1,0
0,209348,3,-4.45,2,0
0,-857909,1,-4.43,0,0
0,-1029038,-2,-4.43,2,0
0,469477,0,-4.41,1,0
0,469477,0,-4.41,1,0
0,-912299,0,-4.41,-1,0
0,-2822944,-3,-4.39,0,1
0,1216042,0,-4.37,1,1
0,-1409233,1,-4.36,0,0
0,38492,1,-4.35,-1,1
0,1726037,3,-4.33,1,1
0,-1791398,-3,-4.3,0,1
0,-775513,0,-4.29,0,0
0,-102739,0,-4.29,-1,0
0,1018751,0,-4.27,0,1
0,579084,1,-4.27,0,1
0,-1230679,0,-4.26,0,1
0,3069073,0,-4.23,-1,0
0,-558454,-1,-4.23,-1,0
0,-557137,-1,-4.23,0,0
0,-557137,-1,-4.23,0,0
0,-1382100,0,-4.23,0,0
0,-483446,0,-4.21,0,0
0,-1342431,-1,-4.19,1,0
0,-558845,1,-4.18,-1,0
0,224161,-2,-4.17,0,0
0,-1529880,-1,-4.11,-1,1
0,108223,0,-4.11,-1,1
0,419559,0,-4.09,0,0
0,-353144,1,-4.07,0,0
0,1080866,0,-4.07,-1,0
0,-432432,0,-4.06,-1,1
0,-651043,0,-4.06,0,1
0,457241,2,-4.04,-1,0
0,-579107,-1,-4.04,-1,0
0,67703,0,-4.04,0,0
0,-1497714,-1,-4.02,0,1
0,-263405,0,-4,0,0
0,-2822963,-3,-3.99,0,0
0,-3354027,0,-3.98,-1,1
0,-3354132,0,-3.98,0,1
0,1183105,0,-3.98,1,1
0,-3354132,0,-3.98,0,1
0,-150140,0,-3.97,0,1
0,-1167824,0,-3.96,-1,1
0,-2065623,2,-3.94,-1,1
0,-1034698,0,-3.91,0,1
0,764920,1,-3.87,1,0
0,538258,2,-3.87,0,0
0,-32930,0,-3.87,2,0
0,4767416,-2,-3.86,1,0
0,-1841004,0,-3.85,0,0
0,19465,-3,-3.84,2,1
0,1478449,0,-3.82,-1,1
0,-979987,0,-3.82,2,0
0,216905,-4,-3.82,0,1
0,523716,0,-3.8,0,0
0,281306,-3,-3.8,0,0
0,-192292,-2,-3.77,-1,1
0,129159,1,-3.76,0,1
0,129159,1,-3.76,1,1
0,282794,-1,-3.74,2,0
0,-401542,0,-3.71,-1,0
0,-401542,0,-3.71,-1,0
0,-1310997,-1,-3.69,-2,1
0,844716,0,-3.69,0,0
0,-218373,1,-3.69,0,0
0,2263931,1,-3.68,1,1
0,497886,0,-3.67,0,1
0,596651,1,-3.66,0,0
0,322419,2,-3.64,1,1
0,617739,-1,-3.63,1,1
0,97536,-1,-3.62,2,1
0,-1660023,0,-3.62,1,0
0,-170086,1,-3.62,0,0
0,845043,2,-3.61,2,0
0,-543353,0,-3.59,0,1
0,-2398429,1,-3.59,1,1
0,1311399,2,-3.58,0,1
0,-334176,-1,-3.55,0,1
0,-346581,0,-3.54,0,0
0,-346581,0,-3.54,0,0
0,453941,-1,-3.53,0,1
0,-3300228,-1,-3.53,-1,0
0,-341104,2,-3.52,-1,0
0,200814,0,-3.51,-1,1
0,-1214006,1,-3.49,-1,1
0,-699514,0,-3.49,1,1
0,858679,-1,-3.45,0,0
0,6120860,0,-3.45,1,1
0,6120860,-3,-3.45,1,1
0,847952,2,-3.44,0,1
0,738585,1,-3.44,0,1
0,316458,0,-3.43,-2,1
0,-29571,0,-3.43,0,1
0,2008990,0,-3.43,0,1
0,-333966,1,-3.42,0,0
0,-828161,1,-3.39,-3,1
0,857389,1,-3.38,0,1
0,3280869,-2,-3.38,1,0
0,752578,1,-3.34,1,1
0,1066720,1,-3.34,0,1
0,1647010,1,-3.33,0,1
0,362753,0,-3.33,0,1
0,-563770,-3,-3.31,0,0
0,738279,0,-3.3,0,1
0,157083,-2,-3.3,0,1
0,197768,-1,-3.28,-1,1
0,1767496,1,-3.26,1,1
0,-680672,1,-3.25,0,0
0,-311291,0,-3.25,1,1
0,2803863,0,-3.23,0,1
0,1854850,2,-3.23,-2,1
0,31631,0,-3.21,0,0
